"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa6f1173335842c353b3","Sa Pa","thi-xa","sa-pa","Thị xã Sa Pa","Sa Pa, Lào Cai","Thị xã Sa Pa, Tỉnh Lào Cai","088","10","False"
"60eaaa6f1173335842c353b4","Văn Bàn","huyen","van-ban","Huyện Văn Bàn","Văn Bàn, Lào Cai","Huyện Văn Bàn, Tỉnh Lào Cai","089","10","False"
"60eaaa6f1173335842c353b5","Điện Biên Phủ","thanh-pho","dien-bien-phu","Thành phố Điện Biên Phủ","Điện Biên Phủ, Điện Biên","Thành phố Điện Biên Phủ, Tỉnh Điện Biên","094","11","False"
"60eaaa6f1173335842c353b6","Mường Lay","thi-xa","muong-lay","Thị Xã Mường Lay","Mường Lay, Điện Biên","Thị Xã Mường Lay, Tỉnh Điện Biên","095","11","False"
"60eaaa6f1173335842c353b7","Mường Nhé","huyen","muong-nhe","Huyện Mường Nhé","Mường Nhé, Điện Biên","Huyện Mường Nhé, Tỉnh Điện Biên","096","11","False"
"60eaaa6f1173335842c353b8","Mường Chà","huyen","muong-cha","Huyện Mường Chà","Mường Chà, Điện Biên","Huyện Mường Chà, Tỉnh Điện Biên","097","11","False"
"60eaaa6f1173335842c353b9","Tủa Chùa","huyen","tua-chua","Huyện Tủa Chùa","Tủa Chùa, Điện Biên","Huyện Tủa Chùa, Tỉnh Điện Biên","098","11","False"
"60eaaa6f1173335842c353ba","Tuần Giáo","huyen","tuan-giao","Huyện Tuần Giáo","Tuần Giáo, Điện Biên","Huyện Tuần Giáo, Tỉnh Điện Biên","099","11","False"
"60eaaa6f1173335842c353bb","Điện Biên","huyen","dien-bien","Huyện Điện Biên","Điện Biên, Điện Biên","Huyện Điện Biên, Tỉnh Điện Biên","100","11","False"
"60eaaa6f1173335842c353bc","Điện Biên Đông","huyen","dien-bien-dong","Huyện Điện Biên Đông","Điện Biên Đông, Điện Biên","Huyện Điện Biên Đông, Tỉnh Điện Biên","101","11","False"
"60eaaa6f1173335842c353bd","Mường Ảng","huyen","muong-ang","Huyện Mường Ảng","Mường Ảng, Điện Biên","Huyện Mường Ảng, Tỉnh Điện Biên","102","11","False"
"60eaaa6f1173335842c353be","Nậm Pồ","huyen","nam-po","Huyện Nậm Pồ","Nậm Pồ, Điện Biên","Huyện Nậm Pồ, Tỉnh Điện Biên","103","11","False"
"60eaaa6f1173335842c353bf","Lai Châu","thanh-pho","lai-chau","Thành phố Lai Châu","Lai Châu, Lai Châu","Thành phố Lai Châu, Tỉnh Lai Châu","105","12","False"
"60eaaa6f1173335842c353c0","Tam Đường","huyen","tam-duong","Huyện Tam Đường","Tam Đường, Lai Châu","Huyện Tam Đường, Tỉnh Lai Châu","106","12","False"
"60eaaa6f1173335842c353c1","Mường Tè","huyen","muong-te","Huyện Mường Tè","Mường Tè, Lai Châu","Huyện Mường Tè, Tỉnh Lai Châu","107","12","False"
"60eaaa6f1173335842c353c2","Sìn Hồ","huyen","sin-ho","Huyện Sìn Hồ","Sìn Hồ, Lai Châu","Huyện Sìn Hồ, Tỉnh Lai Châu","108","12","False"
"60eaaa6f1173335842c353c3","Phong Thổ","huyen","phong-tho","Huyện Phong Thổ","Phong Thổ, Lai Châu","Huyện Phong Thổ, Tỉnh Lai Châu","109","12","False"
"60eaaa6f1173335842c353c4","Than Uyên","huyen","than-uyen","Huyện Than Uyên","Than Uyên, Lai Châu","Huyện Than Uyên, Tỉnh Lai Châu","110","12","False"
"60eaaa6f1173335842c353c5","Tân Uyên","huyen","tan-uyen","Huyện Tân Uyên","Tân Uyên, Lai Châu","Huyện Tân Uyên, Tỉnh Lai Châu","111","12","False"
"60eaaa6f1173335842c353c6","Nậm Nhùn","huyen","nam-nhun","Huyện Nậm Nhùn","Nậm Nhùn, Lai Châu","Huyện Nậm Nhùn, Tỉnh Lai Châu","112","12","False"
"60eaaa6f1173335842c353c7","Sơn La","thanh-pho","son-la","Thành phố Sơn La","Sơn La, Sơn La","Thành phố Sơn La, Tỉnh Sơn La","116","14","False"
"60eaaa6f1173335842c353c8","Quỳnh Nhai","huyen","quynh-nhai","Huyện Quỳnh Nhai","Quỳnh Nhai, Sơn La","Huyện Quỳnh Nhai, Tỉnh Sơn La","118","14","False"
"60eaaa6f1173335842c353c9","Thuận Châu","huyen","thuan-chau","Huyện Thuận Châu","Thuận Châu, Sơn La","Huyện Thuận Châu, Tỉnh Sơn La","119","14","False"
"60eaaa6f1173335842c353ca","Mường La","huyen","muong-la","Huyện Mường La","Mường La, Sơn La","Huyện Mường La, Tỉnh Sơn La","120","14","False"
"60eaaa6f1173335842c353cb","Bắc Yên","huyen","bac-yen","Huyện Bắc Yên","Bắc Yên, Sơn La","Huyện Bắc Yên, Tỉnh Sơn La","121","14","False"
"60eaaa6f1173335842c353cc","Phù Yên","huyen","phu-yen","Huyện Phù Yên","Phù Yên, Sơn La","Huyện Phù Yên, Tỉnh Sơn La","122","14","False"
"60eaaa6f1173335842c353cd","Mộc Châu","huyen","moc-chau","Huyện Mộc Châu","Mộc Châu, Sơn La","Huyện Mộc Châu, Tỉnh Sơn La","123","14","False"
"60eaaa6f1173335842c353ce","Yên Châu","huyen","yen-chau","Huyện Yên Châu","Yên Châu, Sơn La","Huyện Yên Châu, Tỉnh Sơn La","124","14","False"
"60eaaa6f1173335842c353cf","Mai Sơn","huyen","mai-son","Huyện Mai Sơn","Mai Sơn, Sơn La","Huyện Mai Sơn, Tỉnh Sơn La","125","14","False"
"60eaaa6f1173335842c353d0","Sông Mã","huyen","song-ma","Huyện Sông Mã","Sông Mã, Sơn La","Huyện Sông Mã, Tỉnh Sơn La","126","14","False"
"60eaaa6f1173335842c353d1","Sốp Cộp","huyen","sop-cop","Huyện Sốp Cộp","Sốp Cộp, Sơn La","Huyện Sốp Cộp, Tỉnh Sơn La","127","14","False"
"60eaaa6f1173335842c353d2","Vân Hồ","huyen","van-ho","Huyện Vân Hồ","Vân Hồ, Sơn La","Huyện Vân Hồ, Tỉnh Sơn La","128","14","False"
"60eaaa6f1173335842c353d3","Yên Bái","thanh-pho","yen-bai","Thành phố Yên Bái","Yên Bái, Yên Bái","Thành phố Yên Bái, Tỉnh Yên Bái","132","15","False"
"60eaaa6f1173335842c353d4","Nghĩa Lộ","thi-xa","nghia-lo","Thị xã Nghĩa Lộ","Nghĩa Lộ, Yên Bái","Thị xã Nghĩa Lộ, Tỉnh Yên Bái","133","15","False"
"60eaaa6f1173335842c353d5","Lục Yên","huyen","luc-yen","Huyện Lục Yên","Lục Yên, Yên Bái","Huyện Lục Yên, Tỉnh Yên Bái","135","15","False"
"60eaaa6f1173335842c353d6","Văn Yên","huyen","van-yen","Huyện Văn Yên","Văn Yên, Yên Bái","Huyện Văn Yên, Tỉnh Yên Bái","136","15","False"
"60eaaa6f1173335842c353d7","Mù Căng Chải","huyen","mu-cang-chai","Huyện Mù Căng Chải","Mù Căng Chải, Yên Bái","Huyện Mù Căng Chải, Tỉnh Yên Bái","137","15","False"
"60eaaa6f1173335842c353d8","Trấn Yên","huyen","tran-yen","Huyện Trấn Yên","Trấn Yên, Yên Bái","Huyện Trấn Yên, Tỉnh Yên Bái","138","15","False"
"60eaaa6f1173335842c353d9","Trạm Tấu","huyen","tram-tau","Huyện Trạm Tấu","Trạm Tấu, Yên Bái","Huyện Trạm Tấu, Tỉnh Yên Bái","139","15","False"
"60eaaa6f1173335842c353da","Văn Chấn","huyen","van-chan","Huyện Văn Chấn","Văn Chấn, Yên Bái","Huyện Văn Chấn, Tỉnh Yên Bái","140","15","False"
"60eaaa6f1173335842c353db","Yên Bình","huyen","yen-binh","Huyện Yên Bình","Yên Bình, Yên Bái","Huyện Yên Bình, Tỉnh Yên Bái","141","15","False"
"60eaaa6f1173335842c353dc","Hòa Bình","thanh-pho","hoa-binh","Thành phố Hòa Bình","Hòa Bình, Hoà Bình","Thành phố Hòa Bình, Tỉnh Hoà Bình","148","17","False"
"60eaaa6f1173335842c353dd","Đà Bắc","huyen","da-bac","Huyện Đà Bắc","Đà Bắc, Hoà Bình","Huyện Đà Bắc, Tỉnh Hoà Bình","150","17","False"
"60eaaa6f1173335842c353de","Lương Sơn","huyen","luong-son","Huyện Lương Sơn","Lương Sơn, Hoà Bình","Huyện Lương Sơn, Tỉnh Hoà Bình","152","17","False"
"60eaaa6f1173335842c353df","Kim Bôi","huyen","kim-boi","Huyện Kim Bôi","Kim Bôi, Hoà Bình","Huyện Kim Bôi, Tỉnh Hoà Bình","153","17","False"
"60eaaa6f1173335842c353e0","Cao Phong","huyen","cao-phong","Huyện Cao Phong","Cao Phong, Hoà Bình","Huyện Cao Phong, Tỉnh Hoà Bình","154","17","False"
"60eaaa6f1173335842c353e1","Tân Lạc","huyen","tan-lac","Huyện Tân Lạc","Tân Lạc, Hoà Bình","Huyện Tân Lạc, Tỉnh Hoà Bình","155","17","False"
"60eaaa6f1173335842c353e2","Mai Châu","huyen","mai-chau","Huyện Mai Châu","Mai Châu, Hoà Bình","Huyện Mai Châu, Tỉnh Hoà Bình","156","17","False"
"60eaaa6f1173335842c353e3","Lạc Sơn","huyen","lac-son","Huyện Lạc Sơn","Lạc Sơn, Hoà Bình","Huyện Lạc Sơn, Tỉnh Hoà Bình","157","17","False"
"60eaaa6f1173335842c353e4","Yên Thủy","huyen","yen-thuy","Huyện Yên Thủy","Yên Thủy, Hoà Bình","Huyện Yên Thủy, Tỉnh Hoà Bình","158","17","False"
"60eaaa6f1173335842c353e5","Lạc Thủy","huyen","lac-thuy","Huyện Lạc Thủy","Lạc Thủy, Hoà Bình","Huyện Lạc Thủy, Tỉnh Hoà Bình","159","17","False"
"60eaaa6f1173335842c353e6","Thái Nguyên","thanh-pho","thai-nguyen","Thành phố Thái Nguyên","Thái Nguyên, Thái Nguyên","Thành phố Thái Nguyên, Tỉnh Thái Nguyên","164","19","False"
"60eaaa6f1173335842c353e7","Sông Công","thanh-pho","song-cong","Thành phố Sông Công","Sông Công, Thái Nguyên","Thành phố Sông Công, Tỉnh Thái Nguyên","165","19","False"
"60eaaa6f1173335842c353e8","Định Hóa","huyen","dinh-hoa","Huyện Định Hóa","Định Hóa, Thái Nguyên","Huyện Định Hóa, Tỉnh Thái Nguyên","167","19","False"
"60eaaa6f1173335842c353e9","Phú Lương","huyen","phu-luong","Huyện Phú Lương","Phú Lương, Thái Nguyên","Huyện Phú Lương, Tỉnh Thái Nguyên","168","19","False"
"60eaaa6f1173335842c353ea","Đồng Hỷ","huyen","dong-hy","Huyện Đồng Hỷ","Đồng Hỷ, Thái Nguyên","Huyện Đồng Hỷ, Tỉnh Thái Nguyên","169","19","False"
"60eaaa6f1173335842c353eb","Võ Nhai","huyen","vo-nhai","Huyện Võ Nhai","Võ Nhai, Thái Nguyên","Huyện Võ Nhai, Tỉnh Thái Nguyên","170","19","False"
"60eaaa6f1173335842c353ec","Đại Từ","huyen","dai-tu","Huyện Đại Từ","Đại Từ, Thái Nguyên","Huyện Đại Từ, Tỉnh Thái Nguyên","171","19","False"
"60eaaa6f1173335842c353ed","Phổ Yên","thi-xa","pho-yen","Thị xã Phổ Yên","Phổ Yên, Thái Nguyên","Thị xã Phổ Yên, Tỉnh Thái Nguyên","172","19","False"
