"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa6e1173335842c34dcd","Tiên Lãng","xa","tien-lang","Xã Tiên Lãng","Tiên Lãng, Tiên Yên, Quảng Ninh","Xã Tiên Lãng, Huyện Tiên Yên, Tỉnh Quảng Ninh","06889","199","False"
"60eaaa721173335842c3607b","Tiên Lãnh","xa","tien-lanh","Xã Tiên Lãnh","Tiên Lãnh, Tiên Phước, Quảng Nam","Xã Tiên Lãnh, Huyện Tiên Phước, Tỉnh Quảng Nam","20869","514","False"
"60eaaa721173335842c36084","Tiên Lập","xa","tien-lap","Xã Tiên Lập","Tiên Lập, Tiên Phước, Quảng Nam","Xã Tiên Lập, Huyện Tiên Phước, Tỉnh Quảng Nam","20896","514","False"
"60eaaa721173335842c36b71","Tiên Long","xa","tien-long","Xã Tiên Long","Tiên Long, Châu Thành, Bến Tre","Xã Tiên Long, Huyện Châu Thành, Tỉnh Bến Tre","28852","831","False"
"60eaaa721173335842c36083","Tiên Lộc","xa","tien-loc","Xã Tiên Lộc","Tiên Lộc, Tiên Phước, Quảng Nam","Xã Tiên Lộc, Huyện Tiên Phước, Tỉnh Quảng Nam","20893","514","False"
"60eaaa701173335842c35aa3","Tiến Lộc","xa","tien-loc","Xã Tiến Lộc","Tiến Lộc, Hậu Lộc, Thanh Hóa","Xã Tiến Lộc, Huyện Hậu Lộc, Tỉnh Thanh Hóa","16027","400","False"
"60eaaa721173335842c36354","Tiến Lợi","xa","tien-loi","Xã Tiến Lợi","Tiến Lợi, Phan Thiết, Bình Thuận","Xã Tiến Lợi, Thành phố Phan Thiết, Tỉnh Bình Thuận","22963","593","False"
"60eaaa6e1173335842c34e61","Tiên Lục","xa","tien-luc","Xã Tiên Lục","Tiên Lục, Lạng Giang, Bắc Giang","Xã Tiên Lục, Huyện Lạng Giang, Tỉnh Bắc Giang","07393","217","False"
"60eaaa6e1173335842c34ff6","Tiên Lữ","xa","tien-lu","Xã Tiên Lữ","Tiên Lữ, Lập Thạch, Vĩnh Phúc","Xã Tiên Lữ, Huyện Lập Thạch, Tỉnh Vĩnh Phúc","08842","246","False"
"60eaaa6e1173335842c34f72","Tiên Lương","xa","tien-luong","Xã Tiên Lương","Tiên Lương, Cẩm Khê, Phú Thọ","Xã Tiên Lương, Huyện Cẩm Khê, Tỉnh Phú Thọ","08344","235","False"
"60eaaa6e1173335842c3526d","Tiên Minh","xa","tien-minh","Xã Tiên Minh","Tiên Minh, Tiên Lãng, Hải Phòng","Xã Tiên Minh, Huyện Tiên Lãng, Thành phố Hải Phòng","11800","315","False"
"60eaaa721173335842c3607f","Tiên Mỹ","xa","tien-my","Xã Tiên Mỹ","Tiên Mỹ, Tiên Phước, Quảng Nam","Xã Tiên Mỹ, Huyện Tiên Phước, Tỉnh Quảng Nam","20881","514","False"
"60eaaa701173335842c35766","Tiên Ngoại","xa","tien-ngoai","Xã Tiên Ngoại","Tiên Ngoại, Duy Tiên, Hà Nam","Xã Tiên Ngoại, Thị xã Duy Tiên, Tỉnh Hà Nam","13363","349","False"
"60eaaa721173335842c3607c","Tiên Ngọc","xa","tien-ngoc","Xã Tiên Ngọc","Tiên Ngọc, Tiên Phước, Quảng Nam","Xã Tiên Ngọc, Huyện Tiên Phước, Tỉnh Quảng Nam","20872","514","False"
"60eaaa6e1173335842c346bf","Tiên Nguyên","xa","tien-nguyen","Xã Tiên Nguyên","Tiên Nguyên, Quang Bình, Hà Giang","Xã Tiên Nguyên, Huyện Quang Bình, Tỉnh Hà Giang","01225","035","False"
"60eaaa6e1173335842c34e77","Tiên Nha","xa","tien-nha","Xã Tiên Nha","Tiên Nha, Lục Nam, Bắc Giang","Xã Tiên Nha, Huyện Lục Nam, Tỉnh Bắc Giang","07468","218","False"
"60eaaa701173335842c35763","Tiên Nội","phuong","tien-noi","Phường Tiên Nội","Tiên Nội, Duy Tiên, Hà Nam","Phường Tiên Nội, Thị xã Duy Tiên, Tỉnh Hà Nam","13354","349","False"
"60eaaa701173335842c35a53","Tiến Nông","xa","tien-nong","Xã Tiến Nông","Tiến Nông, Triệu Sơn, Thanh Hóa","Xã Tiến Nông, Huyện Triệu Sơn, Tỉnh Thanh Hóa","15730","397","False"
"60eaaa6e1173335842c344fc","Tiên Phong","xa","tien-phong","Xã Tiên Phong","Tiên Phong, Ba Vì, Hà Nội","Xã Tiên Phong, Huyện Ba Vì, Thành phố Hà Nội","09682","271","False"
"60eaaa6e1173335842c34c8d","Tiên Phong","xa","tien-phong","Xã Tiên Phong","Tiên Phong, Phổ Yên, Thái Nguyên","Xã Tiên Phong, Thị xã Phổ Yên, Tỉnh Thái Nguyên","05884","172","False"
"60eaaa721173335842c36080","Tiên Phong","xa","tien-phong","Xã Tiên Phong","Tiên Phong, Tiên Phước, Quảng Nam","Xã Tiên Phong, Huyện Tiên Phước, Tỉnh Quảng Nam","20884","514","False"
"60eaaa6e1173335842c344c6","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Mê Linh, Hà Nội","Xã Tiền Phong, Huyện Mê Linh, Thành phố Hà Nội","09019","250","False"
"60eaaa6e1173335842c345ae","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Thường Tín, Hà Nội","Xã Tiền Phong, Huyện Thường Tín, Thành phố Hà Nội","10222","279","False"
"60eaaa6e1173335842c3528b","Tiền Phong","xa","tien-phong","Xã Tiền Phong","Tiền Phong, Vĩnh Bảo, Hải Phòng","Xã Tiền Phong, Huyện Vĩnh Bảo, Thành phố Hải Phòng","11893","316","False"
